WRITE 20170825-11:27:12 28.8679 mB/s 2.0G
READ  20170825-11:28:26 925.64 mB/s 1.0G
WRITE 20170825-11:29:04 30.2932 mB/s 2.0G
READ  20170825-11:30:15 933.689 mB/s 1.0G
WRITE 20170825-11:30:52 30.1317 mB/s 2.0G
READ  20170825-11:32:04 933.689 mB/s 1.0G
WRITE 20170825-11:32:42 29.8096 mB/s 2.0G
READ  20170825-11:33:54 941.879 mB/s 1.0G
WRITE 20170825-11:34:33 29.645 mB/s 2.0G
READ  20170825-11:35:45 941.879 mB/s 1.0G
WRITE 20170825-11:36:24 30.0852 mB/s 2.0G
READ  20170825-11:37:35 925.64 mB/s 1.0G
WRITE 20170825-11:38:12 29.4297 mB/s 2.0G
READ  20170825-11:39:26 950.214 mB/s 1.0G
WRITE 20170825-11:40:15 29.6614 mB/s 2.0G
READ  20170825-11:41:27 933.689 mB/s 1.0G
WRITE 20170825-11:42:05 29.5512 mB/s 2.0G
READ  20170825-11:43:17 950.214 mB/s 1.0G
WRITE 20170825-11:43:55 29.2573 mB/s 2.0G
READ  20170825-11:45:08 925.64 mB/s 1.0G
WRITE 20170825-11:45:46 29.7188 mB/s 2.0G
READ  20170825-11:46:58 941.879 mB/s 1.0G
WRITE 20170825-11:47:35 29.3492 mB/s 2.0G
READ  20170825-11:48:49 950.214 mB/s 1.0G
WRITE 20170825-11:49:27 29.5715 mB/s 1.0G
READ  20170825-11:50:03 950.214 mB/s 1.0G
WRITE 20170825-11:50:41 29.851 mB/s 1.0G
READ  20170825-11:51:17 917.728 mB/s 1.0G
WRITE 20170825-11:51:55 29.7765 mB/s 1.0G
READ  20170825-11:52:31 950.214 mB/s 1.0G
WRITE 20170825-11:53:09 28.5342 mB/s 1.0G
READ  20170825-11:53:47 950.214 mB/s 1.0G
WRITE 20170825-11:54:25 30.4262 mB/s 1.0G
READ  20170825-11:55:00 941.879 mB/s 1.0G
WRITE 20170825-11:55:38 29.5227 mB/s 1.0G
READ  20170825-11:56:14 933.689 mB/s 1.0G
WRITE 20170825-11:56:52 28.5798 mB/s 1.0G
READ  20170825-11:57:29 941.879 mB/s 1.0G
WRITE 20170825-11:58:07 30.306 mB/s 1.0G
READ  20170825-11:58:42 941.879 mB/s 1.0G
WRITE 20170825-11:59:20 29.6368 mB/s 1.0G
READ  20170825-11:59:56 941.879 mB/s 1.0G
WRITE 20170825-12:00:34 29.0829 mB/s 1.0G
READ  20170825-12:01:11 925.64 mB/s 1.0G
WRITE 20170825-12:01:48 29.2972 mB/s 1.0G
READ  20170825-12:02:25 925.64 mB/s 1.0G
WRITE 20170825-12:03:04 29.8096 mB/s 1.0G
READ  20170825-12:03:40 925.64 mB/s 1.0G
WRITE 20170825-12:04:17 30.0431 mB/s 1.0G
READ  20170825-12:04:53 902.304 mB/s 1.0G
WRITE 20170825-12:05:32 29.8676 mB/s 1.0G
READ  20170825-12:06:08 917.728 mB/s 1.0G
WRITE 20170825-12:06:45 30.1274 mB/s 1.0G
READ  20170825-12:07:21 950.214 mB/s 1.0G
WRITE 20170825-12:07:58 27.8677 mB/s 1.0G
READ  20170825-12:08:37 925.64 mB/s 1.0G
WRITE 20170825-12:09:15 29.2413 mB/s 1.0G
READ  20170825-12:09:52 925.64 mB/s 1.0G
WRITE 20170825-12:10:29 28.3085 mB/s 1.0G
READ  20170825-12:11:07 933.689 mB/s 1.0G
WRITE 20170825-12:11:44 29.596 mB/s 1.0G
READ  20170825-12:12:21 933.689 mB/s 1.0G
WRITE 20170825-12:12:58 29.9928 mB/s 1.0G
READ  20170825-12:13:34 925.64 mB/s 1.0G
WRITE 20170825-12:14:12 28.8873 mB/s 1.0G
READ  20170825-12:14:49 933.689 mB/s 1.0G
